LEVEL1_FK,LEVEL2_FK,DESCRIPT,DESCRIPT2,MODELNUM,INVNUM
20001,2551001,TEST GAUGE,GAUGE TOOLS-HAND SPI; TEST GAUGE,,32017-1
21001,3413001,PAINT SPRAYER NEW IN BOX,"PAINTER TOOLS-POWER GRACO LTS 17, #F19A17H198023832; PAINT SPRAYER NEW IN BOX",LTS 17,235734-1
12001,2796001,ROUND LAPEL PIN DIAMONG,"PIN JEWELRY NONE, 14KT, 5.90 Grams; ROUND LAPEL PIN DIAMONG",,31623-5
21001,3707001,COIL SPRAYER,"SPRAYER TOOLS-POWER SPEEDCLEAN CJ-125, #SC027729; COIL SPRAYER",CJ-125,134143-1
21001,2638001,"1/2 CORDED DRILL                                                                                                                                                                                       ""	DRILL TOOLS-POWER DEWALT DW130V, #581887; 1/2 CORDED DRILL                                                                                                                                             """,DW130V,32567-1,
7001,3491001,LABEL PRINTER,LABELER ELECTRONICS BRADY BMP 21-PLUS; LABEL PRINTER,BMP 21-PLUS,32825-1
16001,2779001,139 DOLLAR GIFT,"GIFT CARD OTHER WALMART, #SC87458604793925523; 139 DOLLAR GIFT",,235611-1
7001,3556001,32GB MEMORY CARD,MEMORY CARD ELECTRONICS SCANDISK; 32GB MEMORY CARD,,33235-2
20001,3207001,UTILITY KNIFE,RAZOR KNIFE TOOLS-HAND IRWIN; UTILITY KNIFE,,31325-5
2001,2109001,CAMCORDER IN BOX 1 BATTERY CHARGER AV CORD,"CAMERA/DIGITAL CAMERA EQUIPMENT SONY DCR-DVD650, #1408023; CAMCORDER IN BOX 1 BATTERY CHARGER AV CORD",DCR-DVD650,32215-1
18001,2511001,TENT,TENT SPORTING EQUIPMENT BMW; TENT,,134193-2
10001,3896001,WINE COOLER,"COOLER HOUSEHOLD CONNOISSEURS NONE, #NONE; WINE COOLER",NONE,31581-2
20001,2620001,"1/2 SOCKET WRENCH                                                                                                                                                                                      ""	WRENCH TOOLS-HAND KOBALT 337332; 1/2 SOCKET WRENCH""",337332,31828-2,
7001,2208001,INTERFACE,"TUNER ELECTRONICS BOSE CINAMATE, #037487963291502AS; INTERFACE",CINAMATE,33619-1
20001,2543001,10PC HOLE SAW KIT,DRILL BIT SET TOOLS-HAND MILWAUKEE 49-22-4025; 10PC HOLE SAW KIT,49-22-4025,32972-1
12001,2796001,LAPELL PIN,"PIN JEWELRY NONE, 10KT, 2.80 Grams; LAPELL PIN",,134020-4
21001,3232001,2000LBS WINCH,"WINCH TOOLS-POWER ALEKO NONE, #NONE; 2000LBS WINCH",NONE,31435-1
10001,2284001,SERVING SETTING,SERVING TRAY HOUSEHOLD TOWLE; SERVING SETTING,,235566-1
20001,3864001,WIRE CRIMPERS,CRIMPER TOOLS-HAND AMP; WIRE CRIMPERS,,235677-1
21001,3486001,SHOP VAC,VACUUME TOOLS-POWER RIDGID TOOL NONE; SHOP VAC,NONE,134128-1
19001,2527001,"1/8 RATCHET                                                                                                                                                                                            ""	RATCHET TOOLS-AIR SNAP-ON FAR25; 1/8 RATCHET""",FAR25,235350-2,
21001,3694001,ROTO ZIP IN CASE,"ROTO ZIP TOOLS-POWER DREMEL 4200, #NONE; ROTO ZIP IN CASE",4200,134106-1
10001,3779001,POWER INVERTER,"INVERTER HOUSEHOLD SCHUMACHER SL1000, #940261347p180206819; POWER INVERTER",SL1000,134546-1
12001,2887001,COIN BELT MADE FROM KENNEDY COINS,"OTHER JEWELRY NONE, N/A, 359.20 Grams; COIN BELT MADE FROM KENNEDY COINS",,32770-1
21001,3059001,"7 ANGLE GRINDER                                                                                                                                                                                        ""	GRINDER TOOLS-POWER MILWAUKEE 6086, #817A49924052; 7 ANGLE GRINDER""",6086,31243-1,
20001,3489001,COOLING SYSTEM TEST IN HARD CASE 5PC,TESTER TOOLS-HAND MATCO APC102; COOLING SYSTEM TEST IN HARD CASE 5PC,APC102,32818-1
12001,1,PLAT SCRAP,"JEWELRY, PLAT; PLAT SCRAP",,I-889
21001,2645001,HEAT GUN,"HEAT GUN TOOLS-POWER WAGNER NONE, #NONE; HEAT GUN",NONE,30812-2
12001,1,SCRAP SILVER,"JEWELRY, 925; SCRAP SILVER",,I-34
7001,3326001,ELECTRONIC THERMOSTAT,"THERMOSTAT ELECTRONICS HONEYWELL RTH5160D, #1825jc095063; ELECTRONIC THERMOSTAT",RTH5160D,235154-1
12001,2796001,CAMEO PIN,"PIN JEWELRY NONE, 10KT, 6.40 Grams; CAMEO PIN",,134084-3
10001,2290001,7 PC SILVERWARE,TABLEWARE HOUSEHOLD JOHN KITTS; 7 PC SILVERWARE,,134442-1
20001,2620001,"1/2 SOCKET WRENCH                                                                                                                                                                                      ""	WRENCH TOOLS-HAND KOBALT 337331; 1/2 SOCKET WRENCH""",337331,31828-1,
7001,3326001,ELECTRONIC THERMOSTAT,"THERMOSTAT ELECTRONICS HONEYWELL RTH5160D, #1842jc148371; ELECTRONIC THERMOSTAT",RTH5160D,235154-3
19001,2527001,"3/8 RATCHET                                                                                                                                                                                            ""	RATCHET TOOLS-AIR SNAP-ON F720A; 3/8 RATCHET""",F720A,I-853,
10001,3779001,POWER INVERTER,"INVERTER HOUSEHOLD SCHUMACHER SI1000, #940261347p180206926; POWER INVERTER",SI1000,134546-2
