LEVEL1_FK	LEVEL2_FK	DESCRIPT	DESCRIPT2	MODELNUM	INVNUM
20001	2551001	TEST GAUGE                                                                                                                                                                                             	GAUGE TOOLS-HAND SPI; TEST GAUGE 		32017-1
21001	2680001	SCREW GUN	SCREWGUN TOOLS-POWER MILWAUKEE 6742-20; SCREW GUN	6742-20	I-608
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 6.40 Grams; LADIES RING W/STONES		235794-9
12001	2339001	MANS RING W/STONE	RING JEWELRY NONE, 14KT, 8.60 Grams; MANS RING W/STONE		I-286
12001	2338001	PANDORA CHARM	PENDANT/CHARM JEWELRY PANDORA, 925, 3.30 Grams; PANDORA CHARM		I-568
12001	2339001	MANS RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 5.60 Grams; MANS RING W/DIAMONDS		I-216
8001	2223001	BERETTA 950-B .22 HANDGUN 1 MAG	PISTOL FIREARM BERETTA 950-B, #C90805, .22 CALIBER, SEMI-AUTOMATIC; BERETTA 950-B .22 HANDGUN 1 MAG	950-B	G-133956-2
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 10KT, 3.70 Grams; LADIES RING W/STONE		31522-9
12001	2339001	LADIES RING	RING JEWELRY NONE, 18KT, 1.40 Grams; LADIES RING		I-930
19001	2527001	AIR RACTCHET	RATCHET TOOLS-AIR DEWALT DLWMT707; AIR RACTCHET	DLWMT707	134803-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 3.10 Grams; LADIES RING W/STONES		I-71
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 925, 6.00 Grams; LADIES RING W/STONES		I-632
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 1.80 Grams; LADIES RING W/STONE		I-458
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 10KT, 3.50 Grams; LADIES RING W/STONE		31670-4
2001	2105001	GOPRO HERO	CAMERA CAMERA EQUIPMENT GOPRO HERO, #C31110245555615; GOPRO HERO	HERO	134520-2
12001	2338001	ATOCHA CHARM TIC 24160	PENDANT/CHARM JEWELRY NONE, 14KT, 8.20 Grams; ATOCHA CHARM TIC 24160		I-32
20001	2585001	5 PC BOLT GRIP SOCKET SET	SOCKET TOOLS-HAND IRWIN 3094001; 5 PC BOLT GRIP SOCKET SET	3094001	31325-6
20001	2562001	LADER AUTO LEVEL	LEVEL TOOLS-HAND BLACK & DECKER BDL110S; LADER AUTO LEVEL	BDL110S	32304-2
12001	2336001	LADIES HOOP EARRINGS	EARRINGS JEWELRY NONE, 14KT, 1.90 Grams; LADIES HOOP EARRINGS		33013-2
12001	2338001	CHARM TICK 24132	PENDANT/CHARM JEWELRY NONE, 18KT, 3.80 Grams; CHARM TICK 24132		I-51
8001	2223001	GLOCK 21 HANDGUN WITH CASE	PISTOL FIREARM GLOCK 21, #TYN051, .45 CALIBER, SEMI-AUTOMATIC; GLOCK 21 HANDGUN WITH CASE	21	G-134825-1
12001	2336001	LADIES DISK EARRINGS	EARRINGS JEWELRY NONE, 22KT, 4.90 Grams; LADIES DISK EARRINGS		30825-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY THL, 14KT, 2.80 Grams; LADIES RING W/STONES		I-539
12001	2339001	LADIES BAND RING	RING JEWELRY TIFFANY, 925, 6.80 Grams; LADIES BAND RING		30055-1
12001	2339001	LADIES CROSS RING	RING JEWELRY NONE, 14KT, 4.90 Grams; LADIES CROSS RING		30293-7
12001	2338001	HOUSE PALM TREE CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 6.70 Grams; HOUSE PALM TREE CHARM		32623-3
6001	3036001	PEPPER SPRAY	PEPPER SPRAY DEFENSE ACCESSORIES; PEPPER SPRAY		I-897
12001	2336001	LADIES HOOP EARRINGS	EARRINGS JEWELRY NONE, 10KT, 1.30 Grams; LADIES HOOP EARRINGS		134421-5
12001	2339001	MANS RING W/STONE	RING JEWELRY NONE, 10KT, 5.20 Grams; MANS RING W/STONE		I-173
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY X, 14KT, 4.30 Grams; LADIES RING W/DIAMONDS		I-331
12001	2333001	LADIES BRACELET W/STONES	BRACELET JEWELRY NONE, 14KT, 18.60 Grams; LADIES BRACELET W/STONES		235176-1
8001	2223001	HANDGUN IN CASE	PISTOL FIREARM SMITH & WESSON M&P 22 COMPACT, #HHK2517, .22 CALIBER, SEMI-AUTOMATIC; HANDGUN IN CASE	M&P 22 COMPACT	G-134124-1
12001	2339001	MANS RING	RING JEWELRY NONE, 14KT, 12.60 Grams; MANS RING		I-283
6001	2135001	BODY ARMOR LEVEL III	BODY ARMOR DEFENSE ACCESSORIES SPARTAN SAS-AR5001012 SW, #n15617; BODY ARMOR LEVEL III	SAS-AR5001012 SW	134393-1
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 4.30 Grams; LADIES RING W/STONE		I-883
12001	2338001	HEART CHARM DOLPHINES	PENDANT/CHARM JEWELRY NONE, 10KT, 1.20 Grams; HEART CHARM DOLPHINES		30529-6
12001	2333001	LADIES BRACELET	BRACELET JEWELRY MLLOR, 14KT, 13.80 Grams; LADIES BRACELET		30972-1
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 8.20 Grams; LADIES RING W/STONE		I-849
12001	2336001	LADIES EARRINGS AND CHARM DIAMONDS	EARRINGS JEWELRY NONE, 14KT, 6.90 Grams; LADIES EARRINGS AND CHARM DIAMONDS		33603-1
12001	2333001	LADIES BRACELET	BRACELET JEWELRY MILOR, 925, 43.20 Grams; LADIES BRACELET		33653-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 3.40 Grams; LADIES RING W/DIAMONDS		I-803
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 10KT, 4.40 Grams; LADIES RING W/STONES		31522-8
12001	2339001	MANS RING BAND	RING JEWELRY NONE, 14KT, 5.20 Grams; MANS RING BAND		I-611
12001	2336001	HOOP EARRINGS	EARRINGS JEWELRY NONE, 14KT, 1.20 Grams; HOOP EARRINGS		32817-3
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 2.30 Grams; LADIES RING W/DIAMONDS		134392-3
12001	2339001	LADIES SOL MOSINITE	RING JEWELRY WRC, PLAT, 3.00 Grams; LADIES SOL MOSINITE		31627-1
8001	2223001	HANDGUN 1 MAG	PISTOL FIREARM GLOCK 27, #XRA897, .40 CALIBER, SEMI-AUTOMATIC; HANDGUN 1 MAG	27	G-235703-1
12001	2333001	BRACELET	BRACELET JEWELRY PANDORA, 925, 9.00 Grams; BRACELET		I-546
12001	2339001	LADIES RINGW/STONE	RING JEWELRY NONE, 14KT, 4.10 Grams; LADIES RINGW/STONE		I-442
12001	2339001	LADIES RING W/DIAMOND	RING JEWELRY NONE, 14KT, 1.80 Grams; LADIES RING W/DIAMOND		134342-1
12001	2339001	MANS RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 12.60 Grams; MANS RING W/DIAMONDS		I-112
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY NONE, 14KT, 43.40 Grams; LADIES NECKLACE		I-136
8001	2223001	HANDGUN 2 MAGS IN CASE	PISTOL FIREARM GLOCK 30, #LFH095, .45 CALIBER, SEMI-AUTOMATIC; HANDGUN 2 MAGS IN CASE	30	G-235087-1
8001	2224001	RIFLE	RIFLE FIREARM WINCHESTER 94, #5118327, 30-30, LEVER; RIFLE	94	G-32751-1
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 10KT, 1.90 Grams; BRACELET		I-729
12001	2337001	NECKLACE	NECKLACE JEWELRY NONE, 14KT, 11.70 Grams; NECKLACE		I-907
12001	2339001	MANS RING BAND	RING JEWELRY FA, 14KT, 4.40 Grams; MANS RING BAND		I-623
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 2.40 Grams; LADIES RING W/STONE		134196-11
12001	2339001	LADIES RING W/DIAMOND	RING JEWELRY NONE; LADIES RING W/DIAMOND		I-913
12001	2339001	LADIES RING	RING JEWELRY NONE, 10KT, 3.90 Grams; LADIES RING		I-413
12001	2338001	CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 6.70 Grams; CHARM		235430-3
6001	2135001	BODY ARMOR                                                                                                                                                                                             	BODY ARMOR DEFENSE ACCESSORIES ARMORED REPUBLIC; BODY ARMOR 		235083-1
8001	2701001	HANGUN IN WOOD BOX	REVOLVER FIREARM HERITAGE ROUGH RIDER, #F47389, .22 CALIBER, REVOLVER; HANGUN IN WOOD BOX	ROUGH RIDER	G-134508-1
12001	2339001	MANS RING BAND	RING JEWELRY NONE, 14KT, 6.10 Grams; MANS RING BAND		133902-2
12001	2338001	COIN CHARM	PENDANT/CHARM JEWELRY NONE, 24KT, 7.70 Grams; COIN CHARM		I-857
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 2.80 Grams; LADIES RING W/STONES		30548-3
12001	2337001	ROPE NECKLACE	NECKLACE JEWELRY NONE, 18KT, 10.20 Grams; ROPE NECKLACE		I-184
12001	2339001	LADIES RING W/DIAMOND	RING JEWELRY NONE, 10KT, 1.70 Grams; LADIES RING W/DIAMOND		I-456
4001	2119001	KRUGERRAND GOLD COIN	FOREIGN COIN(S) COINS FOREIGN; KRUGERRAND GOLD COIN		33394-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 3.90 Grams; LADIES RING W/STONES		30348-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 4.10 Grams; LADIES RING W/STONES		I-341
21001	3059001	ANGLE GRINDER	GRINDER TOOLS-POWER DEWALT DWE43116, #266403; ANGLE GRINDER	DWE43116	134167-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 3.10 Grams; LADIES RING W/DIAMONDS		I-408
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 8.80 Grams; LADIES RING W/STONES		134133-2
20001	2558001	KNOCK OUT TOOL SET	KNOCKOUT PUNCH TOOLS-HAND GREENLEE 7235BB; KNOCK OUT TOOL SET	7235BB	32141-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 3.70 Grams; LADIES RING W/DIAMONDS		235543-1
20001	2568001	PLIER CRIMPERS	PLIERS TOOLS-HAND NONE 29CP; PLIER CRIMPERS	29CP	33267-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 4.50 Grams; LADIES RING W/STONES		33761-4
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY NONE, 18KT, 75.40 Grams; LADIES NECKLACE		134737-1
12001	2339001	MANS RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 17.10 Grams; MANS RING W/DIAMONDS		234942-1
12001	2338001	HORSE CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 2.50 Grams; HORSE CHARM		134366-7
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 18KT, 8.40 Grams; BRACELET		I-750
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 13.80 Grams; LADIES RING W/DIAMONDS		I-114
8001	2223001	HANDGUN IN CASE 2 MAGS	PISTOL FIREARM GLOCK 26, #PTG061, 9 MM, SEMI-AUTOMATIC; HANDGUN IN CASE 2 MAGS	26	G-235381-1
8001	2223001	HANDGUN 1 MAG	PISTOL FIREARM SIG SAUER P229, #A121829, .40 CALIBER, SEMI-AUTOMATIC; HANDGUN 1 MAG	P229	G-235419-1
12001	2333001	BRACELET W/STONES	BRACELET JEWELRY NONE, 14KT, 13.30 Grams; BRACELET W/STONES		I-727
12001	2336001	HOOP EARRINGS	EARRINGS JEWELRY B, 18KT, 2.40 Grams; HOOP EARRINGS		134230-6
19001	2524001	STAPLER IN CASE	NAILER TOOLS-AIR PORTER CABLE NS100A, #436487B4064; STAPLER IN CASE	NS100A	235495-1
12001	2336001	HOOP EARRINGS	EARRINGS JEWELRY P, 14KT, 4.80 Grams; HOOP EARRINGS		30796-3
12001	2333001	LADIES BANGLE BRACELET	BRACELET JEWELRY NONE, 22KT, 20.60 Grams; LADIES BANGLE BRACELET		I-353
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 3.70 Grams; LADIES RING W/STONES		I-352
8001	2223001	ANDERSON AM-15 .223 HANDGUN 2 MAG	PISTOL FIREARM ANDERSON MANUFACTURI AM-15, #17180677, 223, SEMI-AUTOMATIC; ANDERSON AM-15 .223 HANDGUN 2 MAG	AM-15	G-134750-1
8001	2224001	RIFLE 1MAG	RIFLE FIREARM FEG SA 85M, #SM 26193, 7.62 X 39, SEMI-AUTOMATIC; RIFLE 1MAG	SA 85M	G-33332-1
4001	2121001	US 2 DOLLAR COIN	US COIN(S) COINS US COINS; US 2 DOLLAR COIN		134377-3
21001	3413001	PAINT SPRAYER NEW IN BOX	PAINTER TOOLS-POWER GRACO LTS 17, #F19A17H198023832; PAINT SPRAYER NEW IN BOX	LTS 17	235734-1
12001	2337001	NECKLACE	NECKLACE JEWELRY MIDAS, 14KT, 14.20 Grams; NECKLACE		I-189
